"tid";"post_day";"post_month";"post_year";"retweetCt";"posting_user"
682713066287566848;1;1;2016;1;"OhioSenateGOP"
682713068250492936;1;1;2016;9;"FloridaGOP"
682714977573191684;1;1;2016;20;"PhilKabler"
682721679697555456;1;1;2016;69;"marcorubio"
682722293169041408;1;1;2016;2;"lagop"
682723973449289728;1;1;2016;2133;"realDonaldTrump"
682724224906182658;1;1;2016;2;"INSenDems"
682724947756634113;1;1;2016;5;"ColoSenGOP"
682725167571705856;1;1;2016;2;"jasonnobleDMR"
682726445848727552;1;1;2016;1468;"BernieSanders"
682738468095537152;1;1;2016;0;"IanKullgren"
682738575020957696;1;1;2016;0;"NancyBarto"
682740230911229952;1;1;2016;0;"IanKullgren"
682740908802969603;1;1;2016;0;"IanKullgren"
682743201611038721;1;1;2016;4;"OhioSenateGOP"
682743203959799809;1;1;2016;39;"FloridaGOP"
682745461707550720;1;1;2016;0;"PhilKabler"
682745579177246720;1;1;2016;0;"jasonnobleDMR"
682746311280476160;1;1;2016;0;"NewMexicoGOP"
682749746243477505;1;1;2016;0;"patrickmwilson"
682755747516567552;1;1;2016;1;"IanKullgren"
682756078388445184;1;1;2016;12;"IanKullgren"
682756655713357824;1;1;2016;388;"BernieSanders"
682757765090152448;1;1;2016;252;"HillaryClinton"
682758303387119616;1;1;2016;5;"OhioSenateGOP"
682758325901996032;1;1;2016;1;"NebraskaDems"
682764544402440192;1;1;2016;3568;"realDonaldTrump"
682766463183130625;1;1;2016;84;"J_Hancock"
682770640995090432;1;1;2016;0;"IanKullgren"
682771477272215552;1;1;2016;0;"IanKullgren"
682772140869877760;1;1;2016;0;"jasonnobleDMR"
682772554537254912;1;1;2016;0;"IanKullgren"
682772554692472833;1;1;2016;1;"NebraskaDems"
682772845408079872;1;1;2016;0;"IanKullgren"
682773215190503424;1;1;2016;4;"IanKullgren"
682780920789647360;1;1;2016;654;"jasonnobleDMR"
682782146952474624;1;1;2016;0;"jasonnobleDMR"
682786509670367232;1;1;2016;0;"SteveSebelius"
682787022856044544;1;1;2016;1;"SteveSebelius"
682788398625456128;1;1;2016;399;"RealBenCarson"
682788443353563136;1;1;2016;1;"NCGOP"
682788462831902721;1;1;2016;1;"MISenate"
682788671259553792;1;1;2016;2388;"HillaryClinton"
682789119877988352;1;1;2016;946;"BernieSanders"
682789225138290688;1;1;2016;3;"SteveSebelius"
682789286257778688;1;1;2016;2812;"FlaDems"
682789667788451840;1;1;2016;1;"OhioSenateGOP"
682790326373724160;1;1;2016;1;"SteveSebelius"
682790430254170116;1;1;2016;0;"SteveSebelius"
682792967736848385;1;1;2016;3523;"realDonaldTrump"
682794031810752513;1;1;2016;2;"indystartony"
682796357870960641;1;1;2016;0;"indystartony"
682797152876257280;1;1;2016;1282;"jessiehellmann"
682800376882446336;1;1;2016;1;"jasonnobleDMR"
682803974383243264;1;1;2016;0;"IASenateGOP"
682804076367708160;1;1;2016;7;"TNGOP"
682804572323053568;1;1;2016;1;"MSGOP"
682805320217980929;1;1;2016;1973;"realDonaldTrump"
682805477168779264;1;1;2016;2772;"realDonaldTrump"
682809664812249088;1;1;2016;0;"inkyamy"
682814394774892545;1;1;2016;6;"indgop"
682825341761523712;1;1;2016;3;"COSenDem"
682879729045643264;1;1;2016;0;"gophawaii"
682901020566024192;1;1;2016;4;"RhodeIslandGOP"
682902340656037888;1;1;2016;4;"RhodeIslandGOP"
682914145109471232;1;1;2016;3;"KYSenateGOP"
682920570346954752;1;1;2016;1;"PaSenateDems"
682923946623123457;1;1;2016;2;"J_Hancock"
682924865456844800;1;1;2016;0;"indgop"
682929101112389632;1;1;2016;0;"inkyamy"
682930330047791104;1;1;2016;4;"kathyprojo"
682931798704132097;1;1;2016;3;"FLSenateGOP"
682936920230486017;1;1;2016;1;"kathyprojo"
682938498177970178;1;1;2016;0;"inkyamy"
682940732437606400;1;1;2016;17;"FloridaGOP"
682940858807656450;1;1;2016;568;"BernieSanders"
682941039158669312;1;1;2016;1;"TNGOP"
682942811503640576;1;1;2016;4;"J_Hancock"
682942925081198592;1;1;2016;2;"J_Hancock"
682943089829257216;1;1;2016;2;"J_Hancock"
682943204845486080;1;1;2016;2;"J_Hancock"
682944202863456256;1;1;2016;0;"inkyamy"
682945079884017664;1;1;2016;26;"kathyprojo"
682950477546303488;1;1;2016;2;"NebraskaDems"
682950516926615552;1;1;2016;2812;"NebraskaDems"
682950813883318273;1;1;2016;1;"NebraskaDems"
682951986787053568;1;1;2016;1;"gov_gilmore"
682952371291303936;1;1;2016;1;"NebraskaDems"
682952413490319360;1;1;2016;0;"inkyamy"
682952905792589825;1;1;2016;2;"gov_gilmore"
682954511510560768;1;1;2016;40;"JohnKasich"
682963127651061760;1;1;2016;2;"SoDakDems"
682963928205246464;1;1;2016;50;"MartinOMalley"
682966187873980416;1;1;2016;0;"MSGOP"
682966330727731200;1;1;2016;141;"NebraskaDems"
682968589826146306;1;1;2016;0;"inkyamy"
682969201485557762;1;1;2016;200;"RealBenCarson"
682969606844203008;1;1;2016;1;"inkyamy"
682969778735157248;1;1;2016;1;"kathyprojo"
682969910394368000;1;1;2016;1;"kathyprojo"
682969975695519745;1;1;2016;0;"kathyprojo"
682970508871208961;1;1;2016;10;"KYSenateGOP"
682970538801774598;1;1;2016;1;"kathyprojo"
682970868297916416;1;1;2016;0;"inkyamy"
682971689295069185;1;1;2016;1;"MSGOP"
682975219217231872;1;1;2016;6;"TNGOP"
682976375691698176;1;1;2016;0;"kathyprojo"
682977291492802561;1;1;2016;27;"FloridaGOP"
682977291501236224;1;1;2016;0;"INSenDems"
682977299306819584;1;1;2016;0;"kathyprojo"
682980382338232323;1;1;2016;1704;"BernieSanders"
682982852791635968;1;1;2016;288;"marcorubio"
682983174088069120;1;1;2016;2;"kathyprojo"
682985057930313728;1;1;2016;0;"kathyprojo"
682985146455310336;1;1;2016;54;"JohnKasich"
682987166096465920;1;1;2016;1207;"BernieSanders"
682988942291943424;1;1;2016;3;"RhodeIslandGOP"
682990453470281729;1;1;2016;1;"orsendemocrats"
682990805867311104;1;1;2016;2;"orsendemocrats"
682991018262708225;1;1;2016;1;"orsendemocrats"
682998943945486338;1;1;2016;1;"J_Hancock"
683001151759843328;1;1;2016;5;"jasonmdstein"
683001864695230464;1;1;2016;3;"wvdemocrats"
683002513910448132;1;1;2016;1065;"BernieSanders"
683004820740005888;1;1;2016;31;"JohnKasich"
683005429635497985;1;1;2016;586;"HillaryClinton"
683006320354668544;1;1;2016;398;"HillaryClinton"
683007246800797696;1;1;2016;21;"J_Hancock"
683009072820404224;1;1;2016;0;"AKSenateDems"
683009773600686083;1;1;2016;2;"jm_bos"
683010005067419648;1;1;2016;0;"jasonnobleDMR"
683010116615057409;1;1;2016;93;"marcorubio"
683014243726274564;1;1;2016;4;"OhioSenateDems"
683017828904087553;1;1;2016;2;"indgop"
683018740657688576;1;1;2016;5;"INSenDems"
683019290673459200;1;1;2016;1;"J_Hancock"
683021914374336513;1;1;2016;0;"RhodeIslandGOP"
683023275983781889;1;1;2016;0;"RhodeIslandGOP"
683023406418276352;1;1;2016;135;"RealBenCarson"
683027727004221440;1;1;2016;50;"NebraskaDems"
683027797774712832;1;1;2016;946;"NebraskaDems"
683027846562906112;1;1;2016;2388;"NebraskaDems"
683027889197957121;1;1;2016;3;"NebraskaDems"
683028825601634304;1;1;2016;1;"gov_gilmore"
683030854696833024;1;1;2016;0;"RhodeIslandGOP"
683032240926896128;1;1;2016;0;"RhodeIslandGOP"
683032815705915393;1;1;2016;0;"RhodeIslandGOP"
683032844722147328;1;1;2016;98;"marcorubio"
683033752210116608;1;1;2016;7;"LaDemos"
683034201327714304;1;1;2016;895;"BernieSanders"
683035223861280768;1;1;2016;1076;"BernieSanders"
683035524370661376;1;1;2016;1;"Nat_Herz"
683037464504745985;1;1;2016;944;"realDonaldTrump"
683038586183245824;1;1;2016;0;"SusanKLivio"
683042178650734592;1;1;2016;18;"SusanKLivio"
683048778379689985;1;1;2016;0;"RhodeIslandGOP"
683050309044834304;1;1;2016;2;"IdahoGOP"
683055620749012992;1;1;2016;1;"jasonnobleDMR"
683056206894661632;1;1;2016;1;"jasonnobleDMR"
683056480170323968;1;1;2016;6;"AKSenateDems"
683056489989189632;1;1;2016;1;"jasonnobleDMR"
683059937673543680;1;1;2016;0;"jasonnobleDMR"
683060169677344768;1;1;2016;2696;"realDonaldTrump"
683060654098530305;1;1;2016;660;"realDonaldTrump"
683061575071084544;1;1;2016;0;"jasonnobleDMR"
683061678246903808;1;1;2016;907;"realDonaldTrump"
683062220490715136;1;1;2016;878;"realDonaldTrump"
683062751434899456;1;1;2016;935;"realDonaldTrump"
683063231959543808;1;1;2016;118;"jasonnobleDMR"
683065141567602688;1;1;2016;114;"JebBush"
683065824375001088;1;1;2016;21;"RobertTGarrett"
683066224251645953;1;1;2016;1708;"realDonaldTrump"
683066650627846144;1;1;2016;1001;"realDonaldTrump"
683066853762052096;1;1;2016;0;"RhodeIslandGOP"
683067521080135683;1;1;2016;3;"NewYorkGOP"
683070410993364992;1;1;2016;3860;"realDonaldTrump"
683070866729508865;1;1;2016;1;"jasonnobleDMR"
683071547926540289;1;1;2016;2;"INSenDems"
683072698789015552;1;1;2016;42;"OhioSenateDems"
683074951923019776;1;1;2016;804;"OhioSenateDems"
683077759799693312;2;1;2016;2648;"BernieSanders"
683085511242596352;2;1;2016;0;"jasonnobleDMR"
683099389624111108;2;1;2016;1;"UtahGOP"
683101697720348672;2;1;2016;2;"PhilKabler"
683104686216351744;2;1;2016;1;"RepMarkCardenas"
683105699283517440;2;1;2016;0;"INSenDems"
683127297457700864;2;1;2016;1950;"realDonaldTrump"
683128636279361537;2;1;2016;3116;"realDonaldTrump"
683130173756067840;2;1;2016;1;"NebraskaDems"
683140004625936384;2;1;2016;2181;"realDonaldTrump"
683176257446543360;2;1;2016;5;"AKSenateDems"
683259029804695552;2;1;2016;2191;"realDonaldTrump"
683260753810440192;2;1;2016;1802;"realDonaldTrump"
683262143848828928;2;1;2016;3;"J_Hancock"
683277309969694720;2;1;2016;7934;"realDonaldTrump"
683278243428974592;2;1;2016;0;"RhodeIslandGOP"
683278417169649664;2;1;2016;0;"RhodeIslandGOP"
683278641694945280;2;1;2016;0;"RhodeIslandGOP"
683279201571581952;2;1;2016;0;"RhodeIslandGOP"
683279543604482048;2;1;2016;0;"RhodeIslandGOP"
683279656989134848;2;1;2016;0;"RhodeIslandGOP"
683279807271026688;2;1;2016;0;"RhodeIslandGOP"
683280005711933441;2;1;2016;0;"RhodeIslandGOP"
683281444232364039;2;1;2016;1;"RhodeIslandGOP"
683295085862191105;2;1;2016;1;"RhodeIslandGOP"
683297318087573504;2;1;2016;1;"TomLoftus_CJ"
683299533783080960;2;1;2016;2;"gov_gilmore"
683300879299133440;2;1;2016;1;"inkyamy"
683305091466657792;2;1;2016;8;"gov_gilmore"
683305489833275393;2;1;2016;4;"gov_gilmore"
683311452275499008;2;1;2016;0;"RhodeIslandGOP"
683312723552251904;2;1;2016;0;"inkyamy"
683312953110704129;2;1;2016;438;"HillaryClinton"
683314325629603841;2;1;2016;53;"marcorubio"
683314974010281985;2;1;2016;2;"IdahoGOP"
683315281066737665;2;1;2016;0;"MISenate"
683318218551898113;2;1;2016;1413;"BernieSanders"
683326511173120001;2;1;2016;0;"jasonnobleDMR"
683326550230450176;2;1;2016;3;"RobertTGarrett"
683326750856642560;2;1;2016;9;"RobertTGarrett"
683326966964056064;2;1;2016;5;"GeoffPender"
683327223869251584;2;1;2016;0;"jasonnobleDMR"
683327594473873408;2;1;2016;9;"GeoffPender"
683329288289038341;2;1;2016;75;"JohnKasich"
683331217811345409;2;1;2016;2;"NebraskaDems"
683331638823010305;2;1;2016;1;"NebraskaDems"
683331969283850240;2;1;2016;1;"NebraskaDems"
683335999833935872;2;1;2016;530;"BernieSanders"
683338033987366912;2;1;2016;37;"NebraskaDems"
683338248689594368;2;1;2016;1;"NebraskaDems"
683338506660253696;2;1;2016;272;"J_Hancock"
683339228541878272;2;1;2016;32;"JebBush"
683339939677888513;2;1;2016;127;"RealBenCarson"
683343155714854912;2;1;2016;66;"marcorubio"
683344283194253312;2;1;2016;271;"BernieSanders"
683349139833270272;2;1;2016;29;"MartinOMalley"
683350311277219840;2;1;2016;1;"AKSenateDems"
683350511081402369;2;1;2016;155;"BernieSanders"
683352764026589184;2;1;2016;311;"BernieSanders"
683354189163003904;2;1;2016;1295;"BernieSanders"
683354399473823746;2;1;2016;281;"BernieSanders"
683357682690985984;2;1;2016;0;"RepMarkCardenas"
683359701820674049;2;1;2016;1494;"BernieSanders"
683362058721734656;2;1;2016;336;"BernieSanders"
683362477724274688;2;1;2016;773;"BernieSanders"
683362488239390720;2;1;2016;1;"INSenDems"
683365355809587200;2;1;2016;2;"aprilburbank"
683365382665678848;2;1;2016;10;"gov_gilmore"
683365927941844995;2;1;2016;30;"JebBush"
683368148372996096;2;1;2016;592;"BernieSanders"
683368197647667200;2;1;2016;847;"BernieSanders"
683368780110639112;2;1;2016;34;"JohnKasich"
683369590798221312;2;1;2016;4;"NebraskaDems"
683371567821230080;2;1;2016;2;"aprilburbank"
683372497379659776;2;1;2016;294;"BernieSanders"
683373453643132930;2;1;2016;206;"RealBenCarson"
683377290282156032;2;1;2016;2253;"realDonaldTrump"
683377976201752576;2;1;2016;0;"RepMarkCardenas"
683378470093746176;2;1;2016;3641;"realDonaldTrump"
683379494481190914;2;1;2016;85;"marcorubio"
683381558963638276;2;1;2016;2;"ColoSenGOP"
683381559743791104;2;1;2016;1;"ColoSenGOP"
683381672709091328;2;1;2016;46;"marcorubio"
683382333429256192;2;1;2016;711;"HillaryClinton"
683383534749380609;2;1;2016;1;"aprilburbank"
683384786984038400;2;1;2016;40;"marcorubio"
683385914001887232;2;1;2016;200;"marcorubio"
683386164628291584;2;1;2016;9;"marcorubio"
683391264939708421;2;1;2016;3;"RhodeIslandGOP"
683392613869858816;2;1;2016;3833;"realDonaldTrump"
683394224184758272;2;1;2016;6244;"realDonaldTrump"
683398110928748544;2;1;2016;501;"BernieSanders"
683403499447676928;2;1;2016;541;"BernieSanders"
683403653202354176;2;1;2016;707;"RealBenCarson"
683405720809701376;2;1;2016;2;"MissouriGOP"
683411533792153601;2;1;2016;0;"jm_bos"
683412961642287104;2;1;2016;0;"kathyprojo"
683416686523895808;2;1;2016;1;"RobertTGarrett"
683416802055999489;2;1;2016;0;"Nat_Herz"
683418056417251328;2;1;2016;1628;"realDonaldTrump"
683423788709613568;2;1;2016;2;"MSGOP"
683425325360005120;2;1;2016;0;"aprilburbank"
683427706453778432;2;1;2016;948;"BernieSanders"
683433849993363456;2;1;2016;93;"RealBenCarson"
683435692223926272;2;1;2016;2;"MissouriGOP"
683435932138213378;2;1;2016;485;"BernieSanders"
683436883959889921;2;1;2016;479;"BernieSanders"
683437307689611265;2;1;2016;2;"WisDems"
683438947352076288;3;1;2016;133;"marcorubio"
683439194056699904;3;1;2016;5;"IanKullgren"
683441217682714625;3;1;2016;4;"indystartony"
683443848639455232;3;1;2016;1796;"realDonaldTrump"
683448949122838528;3;1;2016;1012;"BernieSanders"
683451232694972416;3;1;2016;6;"kathyprojo"
683452094754504705;3;1;2016;0;"ErinatTheSun"
683454144724733952;3;1;2016;9;"GeoffPender"
683454189842903040;3;1;2016;5;"GeoffPender"
683454275100520450;3;1;2016;1;"GeoffPender"
683455295201370112;3;1;2016;0;"GeoffPender"
